Movie,Year,Genre,,,,,,,,,,,,,,,,
Blow-Up,1942, Thriller            ,,,,,,,,,,,,,,,,
Blue Velvet,2000, Thriller            ,,,,,,,,,,,,,,,,
Bobby Fischer Against the World,2013, History            ,,,,,,,,,,,,,,,,
Body Heat,2000, Romance            ,,,,,,,,,,,,,,,,
Bone Tomahawk,1983, Western            ,,,,,,,,,,,,,,,,
Bonnie and Clyde,2009, Crime            ,,,,,,,,,,,,,,,,
Born on the Fourth of July,2009, War            ,,,,,,,,,,,,,,,,
Bottle Rocket,1970, Drama            ,,,,,,,,,,,,,,,,
Bowling for Columbine,1999, Drama            ,,,,,,,,,,,,,,,,
Braindead,2008, Horror            ,,,,,,,,,,,,,,,,
Braveheart,2012, History            ,,,,,,,,,,,,,,,,
Breakfast at Tiffany's,1995, Romance            ,,,,,,,,,,,,,,,,
Brick,1987, Drama            ,,,,,,,,,,,,,,,,
Broadcast News,2009, Romance            ,,,,,,,,,,,,,,,,
Bronson,2018, Crime            ,,,,,,,,,,,,,,,,
Buffalo '66,1999, Romance            ,,,,,,,,,,,,,,,,
Buffalo Soldiers,1997, Drama            ,,,,,,,,,,,,,,,,
Bug,2010, Thriller            ,,,,,,,,,,,,,,,,
Bugsy,1993, Drama            ,,,,,,,,,,,,,,,,
Bugsy Malone,2002, Family            ,,,,,,,,,,,,,,,,
Butch Cassidy and the Sundance Kid,1986, Crime            ,,,,,,,,,,,,,,,,
Caché (Hidden),1994, Thriller            ,,,,,,,,,,,,,,,,
Capitalism: A Love Story,1984, History            ,,,,,,,,,,,,,,,,
Captain America: The Winter Soldier,1997, Sci-Fi            ,,,,,,,,,,,,,,,,
Captain Phillips,1979, Crime            ,,,,,,,,,,,,,,,,
Capturing the Friedmans,2002, Crime            ,,,,,,,,,,,,,,,,
Carlito's Way,2002, Thriller            ,,,,,,,,,,,,,,,,
Carlos,1946, Drama            ,,,,,,,,,,,,,,,,
Casablanca,1994, War            ,,,,,,,,,,,,,,,,
Casino Royale,1997, Thriller            ,,,,,,,,,,,,,,,,
Cast Away,1991, Romance            ,,,,,,,,,,,,,,,,
Catch Me If You Can,2004, Drama            ,,,,,,,,,,,,,,,,
Catfish,1987, Mystery            ,,,,,,,,,,,,,,,,
Celda 211,2007, Crime            ,,,,,,,,,,,,,,,,
Changeling,2016, Drama            ,,,,,,,,,,,,,,,,
Chasing Amy,2005, Romance            ,,,,,,,,,,,,,,,,
Children of Men,1939, Sci-Fi            ,,,,,,,,,,,,,,,,
Chinatown,2001, Thriller            ,,,,,,,,,,,,,,,,
Chopper,1979, Drama            ,,,,,,,,,,,,,,,,
Cinderella Man,1989, History            ,,,,,,,,,,,,,,,,
Cloverfield,2014, Sci-Fi            ,,,,,,,,,,,,,,,,
Coco,2017, Comedy            ,,,,,,,,,,,,,,,,
Collateral,2013, Drama            ,,,,,,,,,,,,,,,,
Come and See,2009, War            ,,,,,,,,,,,,,,,,
Commando,1993, Thriller            ,,,,,,,,,,,,,,,,
Confessions of a Dangerous Mind,2004, Crime            ,,,,,,,,,,,,,,,,
Control,2016, Music            ,,,,,,,,,,,,,,,,
Cop Land,2010, Thriller            ,,,,,,,,,,,,,,,,
Crash,1973, Thriller            ,,,,,,,,,,,,,,,,
Creed,2017, Sport            ,,,,,,,,,,,,,,,,
"Crouching Tiger, Hidden Dragon",1982, Drama            ,,,,,,,,,,,,,,,,
Crumb,2007, Comedy            ,,,,,,,,,,,,,,,,
Cube,1990, Mystery            ,,,,,,,,,,,,,,,,
Dances with Wolves,1967, Western            ,,,,,,,,,,,,,,,,
